iyear,imonth,iday,provstate,city,latitude,longitude,summary,attacktype1_txt,targtype1_txt,corp1,target1,natlty1_txt,gname,weapsubtype1_txt,nkill,nwound
2001,10,4,Sindh,Karachi,24.893379,67.028061,"10/04/2001: Five people were killed and 14 injured in an attack on al-Murtaza Shiite mosque in Karachi, Sindh province, Pakistan. Two men armed with automatic weapons and riding motorcycles were the perpetrators. No group has claimed responsibility for the attack.",Armed Assault,Religious Figures/Institutions,Shiite Mosque,"Al Murtaza Mosque in Karachi, Sindh province, Pakistan",Pakistan,Unknown,Automatic Weapon,5,14
2001,10,28,Punjab,Bahawalpur,29.395681,71.676924,"10/28/2001: Sixteen people were killed in an attack by six men with Kalashnikov rifles on a church in Bahawalpur, Punjab province, Pakistan. Lashkar-e-Omar claimed responsibility for the attack through a press release to newspapers.",Armed Assault,Religious Figures/Institutions,Pakistan Christians,"Church in Bahawalpur, Pakistan",Pakistan,Lashkar-e-Omar,Automatic Weapon,16,
2002,2,26,Punjab,Rawalpindi,33.600399,73.043426,"02/26/2002: At approximately 7:00pm local time, two unidentified militants attacked Shah Najaf Mosque in Rawalpindi, Pakistan. Ten Shi ite Muslims were killed and another nine were wounded in the incident. After the approximately two-minute attack, both perpetrators fled the scene on motorcycles.",Armed Assault,Religious Figures/Institutions,Civilians,Pakistani Shi ites praying at Shah Najaf Mosque,Pakistan,Unknown,Automatic Weapon,10,9
2002,3,17,Islamabad Capital Territory,Islamabad,33.708988,73.053857,"03/17/2002: Two unidentified men threw several grenades inside the Protestant International Church in Islamabad, Pakistan, which killed five people, including two American nationals, and injured forty-six people. The assailant was suspected to have had ties with Al-Qa ida. No one officially claimed responsibility for the attack.",Bombing/Explosion,Religious Figures/Institutions,Civilians,"Indiscriminate civilians inside a church located in Islamabad, Pakistan",Multinational,Al-Qaida,Grenade,5,46
2002,4,25,Punjab,Bhakkar District,31.622536,71.11135,"04/25/2002: A bomb was detonated in a mosque in the central Pakistani province of Punjab, the town of Bhakkar. 12 female worshippers were killed and 30 were injured. No group claimed responsibility for the attack.",Bombing/Explosion,Religious Figures/Institutions,Civilians,Worshippers at a mosque in Bhakkar,Pakistan,Unknown,Unknown Explosive Type,12,20
2002,5,8,Sindh,Karachi,24.893379,67.028061,"05/08/2002: Fourteen military personnel, 11 French and three Pakistani, were killed in Karachi, Pakistan when they were attacked by a man who exploded the car he was in next to the bus they had just boarded. Another 20 were reported to have been injured in the bombing. The French nationals were in Pakistan assisting the Pakistani military on naval matters and were assumed to be the main target. Authorities, including the French defense minister Alliot-Marie, believed that there was a strong chance Al-Qa ida was involved in the attack. They also believed that this incident was related to an April, 2002 bombing in Tunisia that killed 17 people, including 12 Germans, which Al Qa ida was also suspected to have perpetrated. French and Pakistani authorities believed that three perpetrators were behind the bombing. Pakistani authorities had arrested 406 people in an effort to capture the perpetrators. No group claimed responsibility for the attack.",Bombing/Explosion,Military,French Military,French military personnel in Pakistan,France,Al-Qaida,Vehicle,14,20
2002,6,14,Sindh,Karachi,24.893379,67.028061,06/14/2002: A suicide bombing in front of the U.S. Consulate in Karachi left 12 dead and another 51 injured. Tarjuman Al-Qanoon has taken responsibility for the bombing.,Bombing/Explosion,Government (Diplomatic),United States Department of State,U.S. Embassy in Karachi,United States,Lashkar-e-Omar,Suicide (carried bodily by human being),12,51
2002,8,5,Punjab,Murree,33.835011,73.394418,"08/05/2002: An organization called al-Intiqamu al-Pakistani claimed the responsibility for the attack on a Christian school in Muree, 40 kilometers northeast of Islamabad. The armed assault caused the death of five people including two guards and a cook; the two other victims were unidentified and may have been students. The terrorist organization said that this attack was a reaction to the massacre of Muslims in Kashmir, Palestine, and Afghanistan. The attempt had been widely condemned among officials and political leaders in Pakistan.",Armed Assault,Educational Institution,Christian Pakistani School,Christian School at Muree,Pakistan,Al-Intiqami al-Pakistani,Unknown Gun Type,5,4
2002,9,25,Sindh,Karachi,24.893379,67.028061,"9/25/2002: Two unidentified gunmen stormed the offices of the Christian charity Institute for Peace and Justice in downtown Karachi, Sindh province, Pakistan.  The assailants tied up the Christian office workers and then shot them in the head.  Seven people were killed and two more suffered injuries.  The victims were discovered an hour later by other employees arriving at work.  Officials believe that the attack was designed to destabilize the country.",Armed Assault,NGO,Christian charity,A Christian charity known as Institute for Peace and Justice,Pakistan,Gunmen,Handgun,7,2
2003,2,22,Sindh,Karachi,24.893379,67.028061,"02/22/2003: At sunset, two gunmen on a Hondo CG-125 motorbike rode by a Shiite mosque (called an Imambargah) in the suburb of Malir, east of Karachi and opened fire with an AK-47 on a number of worshippers watching a cricket match on television. Nine of the worshippers died. Police officials strongly suspected the terrorist organization Lashkar-e-Jhangvi of perpetrating the attack. Police and anti-terrorism units carried out a number of raids across Karachi in investigating the incident, though none arrested were suspected of being behind the attack.",Armed Assault,Religious Figures/Institutions,Shiites in Karachi,"Shiite place of worship (Imambargah) in Malir, east of Karachi",Pakistan,Lashkar-e-Jhangvi,Automatic Weapon,9,7
